dataset,article,strategy,value,metric
allsides,allsides_abortion_c_1,vanilla,3.0,moral_count
allsides,allsides_abortion_c_2,vanilla,,moral_count
allsides,allsides_abortion_c_3,vanilla,,moral_count
allsides,allsides_abortion_c_4,vanilla,,moral_count
allsides,allsides_abortion_c_5,vanilla,2.0,moral_count
allsides,allsides_abortion_l_1,vanilla,7.0,moral_count
allsides,allsides_abortion_l_2,vanilla,,moral_count
allsides,allsides_abortion_l_3,vanilla,,moral_count
allsides,allsides_abortion_l_4,vanilla,,moral_count
allsides,allsides_abortion_l_5,vanilla,5.0,moral_count
allsides,allsides_abortion_r_1,vanilla,,moral_count
allsides,allsides_abortion_r_2,vanilla,,moral_count
allsides,allsides_abortion_r_3,vanilla,,moral_count
allsides,allsides_abortion_r_4,vanilla,8.0,moral_count
allsides,allsides_abortion_r_5,vanilla,,moral_count
allsides,allsides_coronavirus_c_1,vanilla,,moral_count
allsides,allsides_coronavirus_c_2,vanilla,,moral_count
allsides,allsides_coronavirus_c_3,vanilla,,moral_count
allsides,allsides_coronavirus_c_4,vanilla,,moral_count
allsides,allsides_coronavirus_c_5,vanilla,4.0,moral_count
allsides,allsides_coronavirus_l_1,vanilla,,moral_count
allsides,allsides_coronavirus_l_2,vanilla,,moral_count
allsides,allsides_coronavirus_l_3,vanilla,,moral_count
allsides,allsides_coronavirus_l_4,vanilla,,moral_count
allsides,allsides_coronavirus_l_5,vanilla,,moral_count
allsides,allsides_coronavirus_r_1,vanilla,,moral_count
allsides,allsides_coronavirus_r_2,vanilla,,moral_count
allsides,allsides_coronavirus_r_3,vanilla,,moral_count
allsides,allsides_coronavirus_r_4,vanilla,,moral_count
allsides,allsides_coronavirus_r_5,vanilla,,moral_count
allsides,allsides_elections_c_1,vanilla,,moral_count
allsides,allsides_elections_c_2,vanilla,,moral_count
allsides,allsides_elections_c_3,vanilla,,moral_count
allsides,allsides_elections_c_4,vanilla,,moral_count
allsides,allsides_elections_c_5,vanilla,2.0,moral_count
allsides,allsides_elections_l_1,vanilla,,moral_count
allsides,allsides_elections_l_2,vanilla,4.0,moral_count
allsides,allsides_elections_l_3,vanilla,,moral_count
allsides,allsides_elections_l_4,vanilla,5.0,moral_count
allsides,allsides_elections_l_5,vanilla,,moral_count
allsides,allsides_elections_r_1,vanilla,,moral_count
allsides,allsides_elections_r_2,vanilla,2.0,moral_count
allsides,allsides_elections_r_3,vanilla,,moral_count
allsides,allsides_elections_r_4,vanilla,,moral_count
allsides,allsides_elections_r_5,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_1,vanilla,9.0,moral_count
allsides,allsides_gun_control_and_gun_rights_c_2,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_3,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_4,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_c_5,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_1,vanilla,9.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_2,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_3,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_l_4,vanilla,6.0,moral_count
allsides,allsides_gun_control_and_gun_rights_l_5,vanilla,,moral_count
allsides,allsides_gun_control_and_gun_rights_r_1,vanilla,,moral_count
